# =========================================================================
#		  GRAMPA: MUL-tree reconciliation
#			09.05.2017 | 05:00:43
# LOG 05.00.43: Number of processes:                                       2
# LOG 05.00.55: The input species tree with internal nodes labeled:        ((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>
# LOG 05.00.55: Input species tree is:                                     Singly-labeled
# LOG 05.00.55: No H1 node defined                                         Searching all possible H1 nodes.
# LOG 05.00.55: No H2 node defined                                         Searching all possible H2 nodes.
# LOG 05.00.55: Using gene trees in file:                                  chelicerata-gt-final-notung.txt
# LOG 05.00.55: Total gene trees:                                          8678
# LOG 05.00.55: Main results and logs will be written to file:             grampa-05.00.43/grampa_out.txt
# LOG 05.00.55: The number of groups for each tree will be calculated:     grampa-05.00.43/grampa_checknums.txt
# LOG 05.00.55: Filtered trees will be saved (if necessary):               grampa-05.00.43/grampa_trees_filtered.txt
# LOG 05.00.55: Filtering gene trees with # of polyploid groups over:      8
# LOG 05.00.55: Detailed results will be written to file:                  grampa-05.00.43/grampa_det.txt
# LOG 05.00.55: Detailed output will contain:                              Reconciliation scores only
# LOG 05.15.22: Filtered trees:                                            443
# LOG 05.15.22: Final tree count for reconciliations:                      8235
# ---------
# Tree #	H1 node	H2 node	Tree string	Total score
ST		((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>	62584
MT-33	<3>	<7>	(((CSCUL,(LRECL+,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>,(LRECL*,(SMIMO*,(LHESP*,PTEPI*)<8>)<9>)<10>)<11>	66440
MT-34	<3>	CSCUL	(((CSCUL,(LRECL*,(SMIMO*,(LHESP*,PTEPI*)<1>)<2>)<3>)<4>,(LRECL+,(SMIMO+,(LHESP+,PTEPI+)<5>)<6>)<7>)<8>,((MOCCI,ISCAP)<9>,TURTI)<10>)<11>	69180
MT-35	<3>	MOCCI	((CSCUL,(LRECL+,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,(LRECL*,(SMIMO*,(LHESP*,PTEPI*)<5>)<6>)<7>)<8>,ISCAP)<9>,TURTI)<10>)<11>	66625
MT-36	<3>	<6>	((CSCUL,(LRECL+,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,TURTI)<6>,(LRECL*,(SMIMO*,(LHESP*,PTEPI*)<7>)<8>)<9>)<10>)<11>	68175
MT-37	<3>	<4>	(((CSCUL,(LRECL+,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,(LRECL*,(SMIMO*,(LHESP*,PTEPI*)<5>)<6>)<7>)<8>,((MOCCI,ISCAP)<9>,TURTI)<10>)<11>	69180
MT-38	<3>	<5>	((CSCUL,(LRECL+,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,(LRECL*,(SMIMO*,(LHESP*,PTEPI*)<6>)<7>)<8>)<9>,TURTI)<10>)<11>	68035
MT-39	<3>	ISCAP	((CSCUL,(LRECL+,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI,(ISCAP,(LRECL*,(SMIMO*,(LHESP*,PTEPI*)<5>)<6>)<7>)<8>)<9>,TURTI)<10>)<11>	67153
MT-40	LRECL	TURTI	((CSCUL,(LRECL+,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,(TURTI,LRECL*)<6>)<7>)<8>	67422
MT-41	LRECL	LHESP	((CSCUL,(LRECL+,(SMIMO,((LHESP,LRECL*)<1>,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	69027
MT-42	LRECL	<3>	((CSCUL,((LRECL+,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>,LRECL*)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	72439
MT-43	LRECL	LRECL	((CSCUL,((LRECL+,LRECL*)<1>,(SMIMO,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	68060
MT-44	LRECL	PTEPI	((CSCUL,(LRECL+,(SMIMO,(LHESP,(PTEPI,LRECL*)<1>)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	71883
MT-45	LRECL	<2>	((CSCUL,(LRECL+,((SMIMO,(LHESP,PTEPI)<1>)<2>,LRECL*)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	72439
MT-46	LRECL	<1>	((CSCUL,(LRECL+,(SMIMO,((LHESP,PTEPI)<1>,LRECL*)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	72916
MT-47	LRECL	<7>	(((CSCUL,(LRECL+,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>,LRECL*)<8>	69756
MT-48	LRECL	CSCUL	(((CSCUL,LRECL*)<1>,(LRECL+,(SMIMO,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	71382
MT-49	LRECL	MOCCI	((CSCUL,(LRECL+,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI,LRECL*)<5>,ISCAP)<6>,TURTI)<7>)<8>	68095
MT-50	LRECL	<6>	((CSCUL,(LRECL+,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,TURTI)<6>,LRECL*)<7>)<8>	72129
MT-51	LRECL	SMIMO	((CSCUL,(LRECL+,((SMIMO,LRECL*)<1>,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	71030
MT-52	LRECL	<4>	(((CSCUL,(LRECL+,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,LRECL*)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	72814
MT-53	LRECL	<5>	((CSCUL,(LRECL+,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,LRECL*)<6>,TURTI)<7>)<8>	70850
MT-54	LRECL	ISCAP	((CSCUL,(LRECL+,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,(ISCAP,LRECL*)<5>)<6>,TURTI)<7>)<8>	68995
MT-55	PTEPI	TURTI	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,(TURTI,PTEPI*)<6>)<7>)<8>	66678
MT-56	PTEPI	LHESP	((CSCUL,(LRECL,(SMIMO,((LHESP,PTEPI*)<1>,PTEPI+)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	68169
MT-57	PTEPI	<3>	((CSCUL,((LRECL,(SMIMO,(LHESP,PTEPI+)<1>)<2>)<3>,PTEPI*)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	68776
MT-58	PTEPI	LRECL	((CSCUL,((LRECL,PTEPI*)<1>,(SMIMO,(LHESP,PTEPI+)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	66592
MT-59	PTEPI	PTEPI	((CSCUL,(LRECL,(SMIMO,(LHESP,(PTEPI+,PTEPI*)<1>)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	70093
MT-60	PTEPI	<2>	((CSCUL,(LRECL,((SMIMO,(LHESP,PTEPI+)<1>)<2>,PTEPI*)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	67740
MT-61	PTEPI	<1>	((CSCUL,(LRECL,(SMIMO,((LHESP,PTEPI+)<1>,PTEPI*)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	68169
MT-62	PTEPI	<7>	(((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>,PTEPI*)<8>	68986
MT-63	PTEPI	CSCUL	(((CSCUL,PTEPI*)<1>,(LRECL,(SMIMO,(LHESP,PTEPI+)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	69971
MT-64	PTEPI	MOCCI	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,PTEPI*)<5>,ISCAP)<6>,TURTI)<7>)<8>	67540
MT-65	PTEPI	<6>	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,TURTI)<6>,PTEPI*)<7>)<8>	71283
MT-66	PTEPI	SMIMO	((CSCUL,(LRECL,((SMIMO,PTEPI*)<1>,(LHESP,PTEPI+)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	67602
MT-67	PTEPI	<4>	(((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI+)<1>)<2>)<3>)<4>,PTEPI*)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	70855
MT-68	PTEPI	<5>	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,PTEPI*)<6>,TURTI)<7>)<8>	70128
MT-69	PTEPI	ISCAP	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI,(ISCAP,PTEPI*)<5>)<6>,TURTI)<7>)<8>	68437
MT-70	<2>	TURTI	((CSCUL,(LRECL,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,(TURTI,(SMIMO*,(LHESP*,PTEPI*)<6>)<7>)<8>)<9>)<10>	65245
MT-71	<2>	<3>	((CSCUL,((LRECL,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>,(SMIMO*,(LHESP*,PTEPI*)<4>)<5>)<6>)<7>,((MOCCI,ISCAP)<8>,TURTI)<9>)<10>	66862
MT-72	<2>	LRECL	((CSCUL,((LRECL,(SMIMO*,(LHESP*,PTEPI*)<1>)<2>)<3>,(SMIMO+,(LHESP+,PTEPI+)<4>)<5>)<6>)<7>,((MOCCI,ISCAP)<8>,TURTI)<9>)<10>	66862
MT-73	<2>	<2>	((CSCUL,(LRECL,((SMIMO+,(LHESP+,PTEPI+)<1>)<2>,(SMIMO*,(LHESP*,PTEPI*)<3>)<4>)<5>)<6>)<7>,((MOCCI,ISCAP)<8>,TURTI)<9>)<10>	72350
MT-74	<2>	<7>	(((CSCUL,(LRECL,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>,(SMIMO*,(LHESP*,PTEPI*)<8>)<9>)<10>	66193
MT-75	<2>	CSCUL	(((CSCUL,(SMIMO*,(LHESP*,PTEPI*)<1>)<2>)<3>,(LRECL,(SMIMO+,(LHESP+,PTEPI+)<4>)<5>)<6>)<7>,((MOCCI,ISCAP)<8>,TURTI)<9>)<10>	67549
MT-76	<2>	MOCCI	((CSCUL,(LRECL,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,(SMIMO*,(LHESP*,PTEPI*)<5>)<6>)<7>,ISCAP)<8>,TURTI)<9>)<10>	66606
MT-77	<2>	<6>	((CSCUL,(LRECL,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,TURTI)<6>,(SMIMO*,(LHESP*,PTEPI*)<7>)<8>)<9>)<10>	68389
MT-78	<2>	<4>	(((CSCUL,(LRECL,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,(SMIMO*,(LHESP*,PTEPI*)<5>)<6>)<7>,((MOCCI,ISCAP)<8>,TURTI)<9>)<10>	66556
MT-79	<2>	<5>	((CSCUL,(LRECL,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,(SMIMO*,(LHESP*,PTEPI*)<6>)<7>)<8>,TURTI)<9>)<10>	68312
MT-80	<2>	ISCAP	((CSCUL,(LRECL,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI,(ISCAP,(SMIMO*,(LHESP*,PTEPI*)<5>)<6>)<7>)<8>,TURTI)<9>)<10>	67313
MT-81	<1>	TURTI	((CSCUL,(LRECL,(SMIMO,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,(TURTI,(LHESP*,PTEPI*)<6>)<7>)<8>)<9>	66335
MT-82	<1>	<3>	((CSCUL,((LRECL,(SMIMO,(LHESP+,PTEPI+)<1>)<2>)<3>,(LHESP*,PTEPI*)<4>)<5>)<6>,((MOCCI,ISCAP)<7>,TURTI)<8>)<9>	68717
MT-83	<1>	LRECL	((CSCUL,((LRECL,(LHESP*,PTEPI*)<1>)<2>,(SMIMO,(LHESP+,PTEPI+)<3>)<4>)<5>)<6>,((MOCCI,ISCAP)<7>,TURTI)<8>)<9>	66702
MT-84	<1>	<2>	((CSCUL,(LRECL,((SMIMO,(LHESP+,PTEPI+)<1>)<2>,(LHESP*,PTEPI*)<3>)<4>)<5>)<6>,((MOCCI,ISCAP)<7>,TURTI)<8>)<9>	69568
MT-85	<1>	<1>	((CSCUL,(LRECL,(SMIMO,((LHESP+,PTEPI+)<1>,(LHESP*,PTEPI*)<2>)<3>)<4>)<5>)<6>,((MOCCI,ISCAP)<7>,TURTI)<8>)<9>	72126
MT-86	<1>	<7>	(((CSCUL,(LRECL,(SMIMO,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>,(LHESP*,PTEPI*)<8>)<9>	68268
MT-87	<1>	CSCUL	(((CSCUL,(LHESP*,PTEPI*)<1>)<2>,(LRECL,(SMIMO,(LHESP+,PTEPI+)<3>)<4>)<5>)<6>,((MOCCI,ISCAP)<7>,TURTI)<8>)<9>	69477
MT-88	<1>	MOCCI	((CSCUL,(LRECL,(SMIMO,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,(LHESP*,PTEPI*)<5>)<6>,ISCAP)<7>,TURTI)<8>)<9>	67357
MT-89	<1>	<6>	((CSCUL,(LRECL,(SMIMO,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,TURTI)<6>,(LHESP*,PTEPI*)<7>)<8>)<9>	70628
MT-90	<1>	SMIMO	((CSCUL,(LRECL,((SMIMO,(LHESP*,PTEPI*)<1>)<2>,(LHESP+,PTEPI+)<3>)<4>)<5>)<6>,((MOCCI,ISCAP)<7>,TURTI)<8>)<9>	69568
